name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
CREB1,1.4e-16,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,176,0.407786408148844,64.3403927525432,0.00193798449612403,0.407786408148844,3,4,FALSE,-0.234656608631951,0,Inconsistent,Low_Low,Urothelial,0
CSF1,1.2e-31,missing,review,yes,no,no,1,yes,non_urothelial,non_urothelial,Medium,Medium,152,0.341414727063615,45.984988686656,0.00189393939393939,0.341414727063615,1,1,FALSE,0.0764931312574488,1,Consistent,Medium_Medium,Other,2
CSF2,3.9e-18,non_urothelial,review,yes,no,no,1,yes,non_urothelial,non_urothelial,High,High,212,0.476609456920208,80.5404444929576,0.00200803212851406,0.476609456920208,1,1,FALSE,-0.249964667927997,1,Consistent,High_High,Non-urothelial,2
CSF3,1.9e-25,non_urothelial,review,yes,no,no,1,yes,non_urothelial,non_urothelial,Medium,Medium,144,0.316318170201738,25.0967724264301,0.0018796992481203,0.316318170201738,1,1,FALSE,-0.372360207996942,1,Consistent,Medium_Medium,Non-urothelial,2
CTNNB1,8.6e-22,uro_cells,yes,no,yes,no,1,yes,uro_cells,uro_cells,Medium,Medium,446,0.832464453964681,831.194124143341,0.0026246719160105,0.83246445396468,3,4,FALSE,0.0318754499051705,2,Consistent,Medium_Medium,Urothelial,0
CTNND1,1.8e-26,uro_cells,yes,no,no,no,0,no,uro_cells,non_urothelial,Low,Medium,88,0.187073578978943,17.7257254602291,0.00178571428571429,0.187073578978943,2,3,TRUE,0.0533302613007993,0,Inconsistent,Medium_Low,Urothelial,0
CTTN,3.6e-24,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,Medium,Medium,96,0.198398180330351,21.4194832493548,0.00179856115107914,0.198398180330351,2,3,TRUE,-0.0319808427093733,0,Consistent,Medium_Medium,Urothelial,0
CXCL8,2.2e-40,missing,no,no,yes,yes,2,yes,uro_cells,non_urothelial,High,High,248,0.531616520220521,150.561747582414,0.00208333333333333,0.531616520220521,1,1,FALSE,-0.555532024785957,3,Inconsistent,High_High,Other,0
CXCR4,1.8e-33,missing,review,no,yes,yes,2,yes,non_urothelial,non_urothelial,Medium,Medium,234,0.5136832948607,144.070941453009,0.00205338809034908,0.5136832948607,1,1,FALSE,0.231975097299844,3,Consistent,Medium_Medium,Other,2
DNM2,1.7e-54,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,70,0.139321725292537,16.1071947985861,0.00175746924428822,0.139321725292537,2,3,TRUE,0.0715976218247899,0,Inconsistent,Low_Low,Urothelial,0
