name,label,expression,degree.x,betweenness.x,closeness.x,eigenvector.x,degree.y,is_signature,betweenness.y,closeness.y,eigenvector.y,hub_score,authority_score,community,mean_expr_UroB,mean_expr_GU,mean_expr_UroA,mean_expr_BaSq,mean_expr_UroC,go_pval,go_padj,go_description,go_hub_score,go_rank,module,in_signature_module,random_walk_score
AKT3,AKT3,0.425665410337283,116,24.3196002190085,0.00183150183150183,0.263075759622097,116,FALSE,24.3196002190085,0.00183150183150183,0.263075759622096,0.263075759622097,0.263075759622096,3,-0.281909538987868,0.191145627685025,-0.574673660767738,0.240285842371141,0.425665410337283,1.88273199363966e-20,5.62936866098257e-18,Not annotated,0.263075759622097,87,4,FALSE,0.00256375792120466
ANGPT1,ANGPT1,0.226311297960211,134,29.4736429799456,0.00186219739292365,0.307987805078063,134,FALSE,29.4736429799456,0.00186219739292365,0.307987805078063,0.307987805078063,0.307987805078062,2,-0.276162814258895,-0.0120925602884658,-0.513201413378876,0.528137639885193,0.226311297960211,1.58073833621798e-20,4.72640762529175e-18,Not annotated,0.307987805078063,86,2,TRUE,0.00448224906110998
ANXA2,ANXA2,-0.518560262552585,76,10.8847323228226,0.00176678445229682,0.187483308201537,76,FALSE,10.8847323228226,0.00176678445229682,0.187483308201537,0.187483308201537,0.187483308201537,4,0.103722811792932,-0.282855198272609,-0.113443126691709,1.40973932903399,-0.518560262552585,1.66544102634868e-36,4.97966866878255e-34,Not annotated,0.187483308201537,27,5,FALSE,0.0010927279159739
ANXA5,ANXA5,-0.021537613842872,220,108.858058621306,0.00202429149797571,0.489636930816465,220,FALSE,108.858058621306,0.00202429149797571,0.489636930816466,0.489636930816466,0.489636930816465,1,0.0799863396696468,-0.220234202934947,-0.557612394677951,0.823196716318708,-0.021537613842872,1.78018867124109e-26,5.32276412701086e-24,Not annotated,0.489636930816466,65,4,FALSE,0.00282304939351404
AREG,AREG,-0.507737036911336,124,34.0670384723997,0.0018450184501845,0.278756063671113,124,FALSE,34.0670384723997,0.0018450184501845,0.278756063671113,0.278756063671114,0.278756063671113,2,-0.0878921727203617,0.245058796748284,-0.417823032095424,0.908789510826249,-0.507737036911336,1.37007706504573e-24,4.09653042448672e-22,urinary bladder cancer,0.278756063671114,74,2,TRUE,0.00451188484623791
ARRB1,ARRB1,0.506420833354666,102,33.4826106250879,0.00180831826401447,0.21053616965232,102,FALSE,33.4826106250879,0.00180831826401447,0.21053616965232,0.21053616965232,0.21053616965232,3,-0.437162404973013,0.7710537720746,-0.362112246219475,-0.468045517450286,0.506420833354666,6.66757084290056e-29,1.99360368202727e-26,Not annotated,0.21053616965232,48,3,TRUE,0.00123726621805389
ARRB2,ARRB2,-0.0492283260128542,106,39.5079046684967,0.00181488203266788,0.202122469747678,106,FALSE,39.5079046684967,0.00181488203266788,0.202122469747678,0.202122469747678,0.202122469747677,3,0.0168406402789404,0.442923677553975,-0.754321716742537,0.453527464857666,-0.0492283260128542,5.96468248261456e-45,1.78344006230175e-42,Not annotated,0.202122469747678,13,3,TRUE,0.00126255142627471
BMP2,BMP2,0.319529283201999,94,14.7265546094586,0.00179533213644524,0.212488292087937,94,FALSE,14.7265546094586,0.00179533213644524,0.212488292087937,0.212488292087937,0.212488292087937,4,-0.316999449262564,-0.438350282602445,0.581014357428114,-0.483372396559039,0.319529283201999,1.37290222510799e-27,4.10497765307288e-25,Not annotated,0.212488292087937,58,5,FALSE,0.00125489917252425
BMP4,BMP4,0.85294181259252,120,30.957504466139,0.00183823529411765,0.249527738426842,120,FALSE,30.957504466139,0.00183823529411765,0.249527738426841,0.249527738426841,0.249527738426841,4,-0.0150801648702108,0.102025107591292,-0.512424798030288,-0.0344710188700653,0.85294181259252,6.46874473425074e-17,1.93415467554097e-14,Not annotated,0.249527738426841,100,5,FALSE,0.00138174036064962
BRCA1,BRCA1,-0.225447504451578,156,49.0940340323397,0.00190114068441065,0.335578734470801,156,FALSE,49.0940340323397,0.00190114068441065,0.335578734470801,0.335578734470801,0.335578734470801,3,-0.379688888986125,0.872071810525029,-0.409609044022065,0.417734668446921,-0.225447504451578,6.40444973970805e-34,1.91493047217271e-31,urinary bladder cancer,0.335578734470801,35,4,FALSE,0.00266365051873552
CASP8,CASP8,-0.137789373535615,150,35.7940403699527,0.00189035916824197,0.348066257809591,150,FALSE,35.7940403699527,0.00189035916824197,0.348066257809591,0.348066257809591,0.348066257809591,3,0.435225369394378,-0.649951403104217,0.379136543090136,-0.255083555960751,-0.137789373535615,3.40928500155457e-22,1.01937621546482e-19,Not annotated,0.348066257809591,82,4,FALSE,0.00246616347830713
CASP9,CASP9,0.0352138111392846,124,18.855486834328,0.0018450184501845,0.298052704785899,124,FALSE,18.855486834328,0.0018450184501845,0.298052704785899,0.298052704785899,0.298052704785899,3,0.0342413509138135,0.337186337329925,0.272138060517716,-0.891658769471055,0.0352138111392846,8.05907432373464e-17,2.40966322279666e-14,urinary bladder cancer,0.298052704785899,102,4,FALSE,0.00239311546006457
