name,label,degree
SMARCA4,SMARCA4,1
SNAI1,SNAI1,1
SNAI2,SNAI2,1
SNCA,SNCA,1
SOCS1,SOCS1,1
SOCS3,SOCS3,1
SOX2,SOX2,1
SOX9,SOX9,1
SP1,SP1,1
SPP1,SPP1,1
SRC,SRC,1
STAT1,STAT1,1
STAT3,STAT3,1
STAT5A,STAT5A,1
STAT5B,STAT5B,1
STAT6,STAT6,1
SYK,SYK,1
TERT,TERT,1
TFRC,TFRC,1
TGFA,TGFA,1
TGFB1,TGFB1,1
TGFBR2,TGFBR2,1
THBS1,THBS1,1
TIMP1,TIMP1,1
TJP1,TJP1,1
TLR2,TLR2,1
TLR4,TLR4,1
TNF,TNF,1
TNFRSF1A,TNFRSF1A,1
TP53,TP53,1
TRAF6,TRAF6,1
TYK2,TYK2,1
UBA52,UBA52,1
UBB,UBB,1
UBC,UBC,1
VAV1,VAV1,1
VCL,VCL,1
VEGFC,VEGFC,1
WNT1,WNT1,1
WNT3A,WNT3A,1
WNT5A,WNT5A,1
XIAP,XIAP,1
XPO1,XPO1,1
YAP1,YAP1,1
YES1,YES1,1
YWHAB,YWHAB,1
YWHAZ,YWHAZ,1
ZAP70,ZAP70,1
