gene_symbol	ensembl_gene_id	description	module	degree	hub_score	rwr_score	max_diff	padj	protein_atlas	receptor	uro_receptor	keep	go_bladder_disease	go_urinary_bladder_cancer	go_bladder_carcinoma	go_count	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	scRNA_normal_class	scRNA_normal_conf_score	scRNA_normal_conf_level	scRNA_cancer_class	scRNA_cancer_conf_score	scRNA_cancer_conf_level
PGR	ENSG00000082175	progesterone receptor	4	134	0.32	0.00453	1.26	1.20E-09	uro_cells	NA	NA	yes	no	no	no	0	no	-0.233	-0.195	0.862	-0.401	0.024	non_urothelial	3.98	High	non_urothelial	4.00	High
PPARG	ENSG00000132170	peroxisome proliferator activated receptor gamma	4	202	0.44	0.00158	1.71	2.20E-76	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.51	0.231	0.331	0.455	-1.196	uro_cells	1.44	Medium	uro_cells	3.95	High
RB1	ENSG00000139687	RB transcriptional corepressor 1	4	106	0.24	0.00128	1.2	2.50E-24	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.299	0.231	0.274	-0.889	0.309	non_urothelial	3.23	Low	uro_cells	0.58	Low
SMAD3	ENSG00000166949	SMAD family member 3	4	190	0.41	0.00268	1.47	3.90E-53	uro_cells	NA	NA	yes	no	no	no	0	no	0.635	0.581	-0.261	-0.831	-0.223	uro_cells	1.38	Medium	uro_cells	0.61	Low
TP53	ENSG00000141510	tumor protein p53	4	430	0.83	0.0059	1.38	2.60E-25	uro_cells	NA	NA	yes	yes	yes	yes	3	yes	0.511	0.147	-0.266	-0.439	-0.869	non_urothelial	3.28	Low	uro_cells	1.04	Medium
ANXA2	ENSG00000182718	annexin A2	5	76	0.19	0.00109	1.93	5.00E-34	uro_cells	NA	NA	yes	no	no	no	0	no	-0.113	0.104	-0.519	-0.283	1.41	uro_cells	2.31	High	uro_cells	3.99	High
BMP4	ENSG00000125378	bone morphogenetic protein 4	5	120	0.25	0.00138	1.37	1.90E-14	uro_cells	NA	NA	review	no	no	no	0	no	-0.512	-0.015	0.853	0.102	-0.034	non_urothelial	3.74	Medium	non_urothelial	3.99	High
CD44	ENSG00000026508	CD44 molecule (IN blood group)	5	288	0.6	0.00515	2.12	5.70E-48	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.024	0.227	-0.299	-1.08	1.041	uro_cells	1.61	Medium	non_urothelial	3.80	Medium
EPCAM	ENSG00000119888	epithelial cell adhesion molecule	5	88	0.22	0.00421	1.14	5.00E-28	uro_cells	NA	NA	yes	no	no	no	0	no	-0.048	-0.13	0.196	0.8	-0.339	uro_cells	1.39	Medium	uro_cells	3.74	High
MKI67	ENSG00000148773	marker of proliferation Ki-67	5	106	0.26	0.00232	1.11	2.10E-24	uro_cells	NA	NA	yes	no	yes	no	1	yes	-0.389	-0.321	-0.372	0.719	0.423	non_urothelial	3.95	High	non_urothelial	3.45	Low
MMP3	ENSG00000149968	matrix metallopeptidase 3	5	108	0.26	0.00122	1.3	4.40E-32	uro_cells	NA	NA	yes	no	no	no	0	no	-0.562	0.063	-0.26	0.309	0.734	non_urothelial	3.45	Medium	non_urothelial	4.00	High
POU5F1	ENSG00000204531	POU class 5 homeobox 1	5	132	0.28	0.00247	1.4	8.50E-20	uro_cells	NA	NA	yes	no	no	no	0	no	0.231	-0.351	0.303	0.666	-0.734	non_urothelial	3.77	Medium	non_urothelial	3.92	Medium
SERPINE1	ENSG00000106366	serpin family E member 1	5	98	0.24	0.0022	1.11	8.60E-06	uro_cells	NA	NA	yes	no	yes	no	1	yes	-0.131	0.106	-0.455	-0.124	0.653	non_urothelial	2.94	Low	non_urothelial	3.68	Low
SNAI1	ENSG00000124216	snail family transcriptional repressor 1	5	150	0.35	0.00254	1.1	2.30E-26	uro_cells	NA	NA	yes	no	no	no	0	no	-0.596	-0.209	0.185	0.026	0.505	non_urothelial	3.94	High	non_urothelial	3.79	Medium
SNAI2	ENSG00000019549	snail family transcriptional repressor 2	5	114	0.27	0.00238	2.1	2.60E-53	uro_cells	NA	NA	yes	no	yes	yes	2	yes	0.079	0.193	-0.203	-1.16	0.938	non_urothelial	3.26	Low	non_urothelial	3.98	Medium
SOX9	ENSG00000125398	SRY-box transcription factor 9	5	132	0.28	0.00144	1.54	4.40E-35	uro_cells	NA	NA	yes	no	no	no	0	no	-0.548	-0.065	-0.293	0.316	0.994	non_urothelial	2.91	Low	non_urothelial	3.49	Low
SPP1	ENSG00000118785	secreted phosphoprotein 1	5	132	0.32	0.00135	1.21	3.90E-10	uro_cells	NA	NA	yes	no	yes	no	1	yes	-0.298	0.387	-0.744	0.115	0.47	non_urothelial	3.90	High	non_urothelial	3.71	Low
TIMP1	ENSG00000102265	TIMP metallopeptidase inhibitor 1	5	106	0.26	0.00114	1.11	3.20E-15	uro_cells	NA	NA	yes	no	no	no	0	no	-0.42	-0.125	-0.089	-0.288	0.691	uro_cells	1.83	High	uro_cells	2.51	High
