gene_symbol	module	in_signature_module	ensembl_gene_id	description	gene_biotype	degree	hub_score	padj	max_diff
CCL2	1	FALSE	ENSG00000108691	C-C motif chemokine ligand 2	protein_coding	180	0.401672415238595	4.44043223819372e-48	1.47568096900297
PIK3CD	2	TRUE	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein_coding	168	0.334730236484371	2.56507950746054e-26	1.08788981722599
EPHA2	2	TRUE	ENSG00000142627	EPH receptor A2	protein_coding	134	0.287879034317897	2.04895820724884e-14	1.19047889884194
FGFR4	2	TRUE	ENSG00000160867	fibroblast growth factor receptor 4	protein_coding	128	0.271059553012798	2.27611044371725e-06	1.02799534299853
HBEGF	2	TRUE	ENSG00000113070	heparin binding EGF like growth factor	protein_coding	134	0.315151748388753	1.86632356789751e-29	1.50326469337786
SHH	5	FALSE	ENSG00000164690	sonic hedgehog signaling molecule	protein_coding	136	0.294652046596999	1.33251012016214e-38	1.36161152971858
CREB1	4	FALSE	ENSG00000118260	cAMP responsive element binding protein 1	protein_coding	176	0.407786408148844	1.44783266080722e-16	1.06616840676587
PTGS2	1	FALSE	ENSG00000073756	prostaglandin-endoperoxide synthase 2	protein_coding	182	0.437474109141124	1.06184839079116e-08	1.02691956588207
SNAI1	5	FALSE	ENSG00000124216	snail family transcriptional repressor 1	protein_coding	150	0.34777033938634	2.30442944111935e-26	1.10049478284985
CDKN1A	4	FALSE	ENSG00000124762	cyclin dependent kinase inhibitor 1A	protein_coding	162	0.36720889097506	2.31729149029822e-16	1.05529816168527
TRAF6	1	FALSE	ENSG00000175104	TNF receptor associated factor 6	protein_coding	162	0.348239129092229	1.84308134733669e-22	1.19635843792804
POU5F1	5	FALSE	ENSG00000204531	POU class 5 homeobox 1	protein_coding	132	0.282792641805995	8.53339435495489e-20	1.40050558466986
PGR	4	FALSE	ENSG00000082175	progesterone receptor	protein_coding	134	0.32252550484918	1.24652076217491e-09	1.26309171487098
ARRB1	3	TRUE	ENSG00000137486	arrestin beta 1	protein_coding	102	0.21053616965232	1.99360368202727e-26	1.23909928952489
SOCS1	1	FALSE	ENSG00000185338	suppressor of cytokine signaling 1	protein_coding	136	0.304068668021173	2.27708268020373e-26	1.18424791713512
TLR2	1	FALSE	ENSG00000137462	toll like receptor 2	protein_coding	146	0.321607235029279	1.47109994673314e-23	1.42938097150328
EZH2	4	FALSE	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein_coding	124	0.269368112887163	3.36418389414012e-50	1.45257922907943
AREG	2	TRUE	ENSG00000109321	amphiregulin	protein_coding	124	0.278756063671114	4.09653042448672e-22	1.41652654773758
SOX9	5	FALSE	ENSG00000125398	SRY-box transcription factor 9	protein_coding	132	0.283255374828442	4.38242772789844e-35	1.54141527087203
FOXO1	4	FALSE	ENSG00000150907	forkhead box O1	protein_coding	152	0.329326386420306	2.49528748985456e-26	1.14300114005811
NCK1	3	TRUE	ENSG00000158092	NCK adaptor protein 1	protein_coding	112	0.218127686391486	1.03036726830645e-41	1.82586722660832
CSF3	1	FALSE	ENSG00000108342	colony stimulating factor 3	protein_coding	144	0.316318170201738	1.85845298564936e-25	1.21946063758827
BMP4	5	FALSE	ENSG00000125378	bone morphogenetic protein 4	protein_coding	120	0.249527738426841	1.93415467554097e-14	1.36536661062281
EREG	2	TRUE	ENSG00000124882	epiregulin	protein_coding	108	0.240430844295742	3.09963842375141e-34	1.58357824975254
ARRB2	3	TRUE	ENSG00000141480	arrestin beta 2	protein_coding	106	0.202122469747678	1.78344006230175e-42	1.2078491816002
PIK3CG	2	TRUE	ENSG00000105851	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	protein_coding	108	0.241978727694488	7.52401066154015e-23	1.00007065161384
RAC2	3	TRUE	ENSG00000128340	Rac family small GTPase 2	protein_coding	116	0.230454484675487	3.15197574933654e-18	1.11181306834165
CD274	1	FALSE	ENSG00000120217	CD274 molecule	protein_coding	136	0.316576490310092	1.0675294388956e-35	1.5456386409935
